bjd_code,altitude_m,altitude_source
1215032028,84,emd_point
1215032029,84,emd_point
1215032030,84,emd_point
1215032031,84,emd_point
1215032032,84,emd_point
1215032033,84,emd_point
1215032034,84,emd_point
1215033000,76,emd_point
1215033021,76,emd_point
1215033022,76,emd_point
1215033023,76,emd_point
1215033024,76,emd_point
1215033025,76,emd_point
1215033026,76,emd_point
1215033027,76,emd_point
1215033028,76,emd_point
1215033029,76,emd_point
1215033030,76,emd_point
1215033031,76,emd_point
1215033032,76,emd_point
1215033033,76,emd_point
1215033034,76,emd_point
1215033035,76,emd_point
1215033036,76,emd_point
1215034000,123,emd_point
1215034021,123,emd_point
1215034022,123,emd_point
1215034023,123,emd_point
1215034024,123,emd_point
1215034025,123,emd_point
1215034026,123,emd_point
1215034027,123,emd_point
1215034028,123,emd_point
1215034029,123,emd_point
1215034030,123,emd_point
1215035000,69,emd_point
1215035021,69,emd_point
1215035022,69,emd_point
1215035023,69,emd_point
1215035024,69,emd_point
1215035025,69,emd_point
1215035026,69,emd_point
1215035028,69,emd_point
1215035029,69,emd_point
1215035030,69,emd_point
1215035031,69,emd_point
1215035032,69,emd_point
1215035033,69,emd_point
1215035034,69,emd_point
1215035035,69,emd_point
1215035036,69,emd_point
1215035037,69,emd_point
1215035038,69,emd_point
1215035039,69,emd_point
1215035040,69,emd_point
1215035041,69,emd_point
1215036000,120,emd_point
1215036021,120,emd_point
1215036022,120,emd_point
1215036023,120,emd_point
1215036024,120,emd_point
1215036025,120,emd_point
1215036026,120,emd_point
1215036027,120,emd_point
1215036028,120,emd_point
1215036029,120,emd_point
1215036030,120,emd_point
1215036031,120,emd_point
1215036032,120,emd_point
1215036033,120,emd_point
1215036034,120,emd_point
1215036035,120,emd_point
1215037000,204,emd_point
1215037021,204,emd_point
1215037022,204,emd_point
1215037023,204,emd_point
1215037024,204,emd_point
1215037025,204,emd_point
1215037026,204,emd_point
1215037027,204,emd_point
1215037028,204,emd_point
1215038000,59,emd_point
1215038021,59,emd_point
1215038022,59,emd_point
1215038023,59,emd_point
1215038024,59,emd_point
1215038025,59,emd_point
1215038026,59,emd_point
1215038027,59,emd_point
1215038028,59,emd_point
1215038029,59,emd_point
1215038030,59,emd_point
1215038031,59,emd_point
1215038032,59,emd_point
1215038033,59,emd_point
1215038034,59,emd_point
1215038035,59,emd_point
1215038036,59,emd_point
1215038037,59,emd_point
1215038038,59,emd_point
1215038039,59,emd_point
1215039000,62,emd_point
1215039021,62,emd_point
1215039022,62,emd_point
1215039023,62,emd_point
1215039024,62,emd_point
1215039025,62,emd_point
1215039026,62,emd_point
1215039027,62,emd_point
1215039028,62,emd_point
1215039029,62,emd_point
1215039030,62,emd_point
1215039031,62,emd_point
1215039032,62,emd_point
1215039033,62,emd_point
1215039034,62,emd_point
1215039035,62,emd_point
1215039036,62,emd_point
1215039037,62,emd_point
1215039038,62,emd_point
1215040000,15,emd_point
1215040021,15,emd_point
1215040022,15,emd_point
1215040023,15,emd_point
1215040024,15,emd_point
1215040025,15,emd_point
1215040026,15,emd_point
1215040027,15,emd_point
1215040028,15,emd_point
1215040029,15,emd_point
1215040030,15,emd_point
1215040031,15,emd_point
1217010100,26,region_point
1217010200,6,emd_point
1217010300,26,region_point
1217010400,26,region_point
1217010500,26,region_point
1217010600,26,region_point
1217010700,26,region_point
1217010800,26,region_point
1217010900,26,region_point
1217011000,26,region_point
1217011100,26,region_point
