point_code,name,lat,lon,altitude,nx,ny,region_id,distance_km,network
570,금곡,37.6232,126.64233,33,54,128,135,5.0,kma_aws
571,화성,37.19525,126.82094,45,57,119,117,10.0,kma_aws
572,성남,37.42093,127.12476,28,62,124,104,5.0,kma_aws
573,청운,37.55821,127.71352,120,72,127,146,18.0,kma_aws
574,대신,37.3694,127.58711,36,70,123,143,11.2,kma_aws
575,용인이동,37.1058,127.18766,51,64,117,129,10.0,kma_aws
576,백암,37.12966,127.36632,111,67,117,134,14.1,kma_aws
577,장봉도,37.53347,126.33659,9,49,126,79,20.6,kma_aws
578,호도,36.3012,126.26628,8,48,99,164,30.4,kma_aws
579,하장,37.36684,128.9133,607,93,123,235,20.0,kma_aws
580,옥계,37.61345,129.02888,58,95,129,227,14.1,kma_aws
581,상동,37.11663,128.77441,422,91,118,228,20.6,kma_aws
582,신림,37.23146,128.07993,328,79,120,152,14.1,kma_aws
583,안흥,37.46463,128.1551,534,80,125,232,15.0,kma_aws
585,신남,37.95996,128.0742,235,78,136,239,14.1,kma_aws
586,북산,38.03209,127.87694,225,75,137,238,14.1,kma_aws
587,방산,38.22642,127.95329,276,76,141,238,11.2,kma_aws
588,남산,37.79066,127.64289,83,71,132,145,11.2,kma_aws
589,고양고봉,37.70236,126.79026,59,57,130,119,7.1,kma_aws
590,과천,37.44028,127.00249,46,60,124,121,0.0,kma_aws
591,치악산,37.41554,128.05047,267,78,124,232,7.1,kma_aws
592,부론,37.23162,127.74866,52,73,120,143,11.2,kma_aws
593,양양영덕,38.00731,128.54069,128,86,137,241,11.2,kma_aws
594,서화,38.2533,128.21,316,81,142,239,20.6,kma_aws
595,진부령,38.26414,128.37415,586,83,142,240,18.0,kma_aws
596,오색,38.07699,128.49325,241,86,138,241,10.0,kma_aws
597,대화,37.54548,128.44108,561,85,127,234,20.6,kma_aws
598,양주,37.83118,126.9905,87,60,132,141,7.1,kma_aws
599,광릉,37.76172,127.16977,105,63,131,141,10.0,kma_aws
600,금왕,36.97369,127.58973,131,71,114,159,7.1,kma_aws
601,단양,37.00204,128.34687,147,84,115,160,0.0,kma_aws
602,진천,36.86338,127.46231,68,68,112,157,5.0,kma_aws
603,괴산,36.81612,127.77758,120,74,111,158,0.0,kma_aws
604,옥천,36.29995,127.59654,118,71,99,154,0.0,kma_aws
605,영동,36.16,127.755,143,74,96,155,5.0,kma_aws
606,대산,37.01061,126.38808,23,50,115,169,25.0,kma_aws
607,근흥,36.67309,126.13541,6,45,107,176,18.0,kma_aws
609,삽시도,36.33796,126.35623,39,49,100,164,25.0,kma_aws
610,홍성죽도,36.52003,126.44237,16,51,104,174,22.4,kma_aws
611,세종연서,36.56667,127.28056,51,65,105,99,11.2,kma_aws
612,공주,36.48284,127.13646,24,63,103,163,5.0,kma_aws
614,서천,36.06248,126.70411,9,55,94,172,0.0,kma_aws
615,논산,36.21164,127.10815,8,62,97,167,0.0,kma_aws
616,당진,36.88936,126.61739,52,54,112,169,0.0,kma_aws
617,직산,36.89056,127.14556,27,63,112,162,0.0,kma_aws
618,청양,36.42371,126.77906,98,57,102,173,5.0,kma_aws
619,음성,36.92297,127.70241,133,73,113,159,5.0,kma_aws
620,엄정,37.07371,127.90353,65,76,116,151,10.0,kma_aws
621,수산,36.97325,128.21421,147,81,114,160,15.8,kma_aws
622,수안보,36.83909,128.00791,228,78,111,151,18.0,kma_aws
623,증평,36.7956,127.562,74,70,110,156,5.0,kma_aws
624,상당,36.62436,127.6571,224,72,106,147,15.0,kma_aws
625,속리산,36.51639,127.81556,325,75,104,153,11.2,kma_aws
626,옥천청산,36.35294,127.82157,120,75,101,153,14.1,kma_aws
627,태안,36.754,126.32952,14,49,109,176,5.0,kma_aws
628,예산,36.73925,126.8199,29,57,109,175,11.2,kma_aws
629,세종전의,36.69076,127.20047,84,64,108,161,11.2,kma_aws
630,노은,37.04566,127.79968,109,74,116,151,14.1,kma_aws
631,송도,37.34775,126.61535,9,54,122,81,7.1,kma_aws
632,유구,36.54056,126.94722,57,60,104,173,15.8,kma_aws
633,정안,36.55114,127.09383,75,62,105,163,15.8,kma_aws
634,아산,36.84578,126.86536,29,58,111,165,11.2,kma_aws
635,양화,36.1319,126.86024,10,58,96,171,15.8,kma_aws
636,계룡,36.3132,127.2407,132,65,100,168,5.0,kma_aws
637,신평,36.87895,126.82381,9,57,112,169,15.0,kma_aws
638,영춘,37.07778,128.49361,243,86,117,233,10.0,kma_aws
639,덕산,36.90433,128.14564,282,80,113,151,20.6,kma_aws
640,청천,36.67111,127.86527,226,76,108,158,18.0,kma_aws
641,가덕,36.5461,127.52388,79,70,105,147,7.1,kma_aws
642,오월드,36.29129,127.39586,148,67,99,91,5.0,kma_aws
643,세천,36.34019,127.49378,91,69,100,89,5.0,kma_aws
644,연무,36.13662,127.09004,24,62,96,167,5.0,kma_aws
645,서부,36.57887,126.51099,16,52,105,174,15.8,kma_aws
646,춘장대,36.17406,126.52845,7,52,96,172,18.0,kma_aws
647,가곡,36.12474,127.68507,118,73,96,155,7.1,kma_aws
648,장동,36.41347,127.43821,99,68,102,92,7.1,kma_aws
649,부평,37.47223,126.75072,25,56,125,82,5.0,kma_aws
650,양지,38.25091,127.27141,187,65,142,236,15.0,kma_aws
651,외촌,38.27717,127.2057,216,63,142,236,18.0,kma_aws
652,연천청산,37.98998,127.07267,38,61,136,115,10.0,kma_aws
