region_code,region_name,clmt_zone_code,annual_mean_temp,temp_seasonality,annual_precip,weather_months,valid_temp_months,growing_temp,score_09001_temp,score_09001_total,score_09011_temp,score_09011_total,score_07001_temp,score_07001_total,score_03001_temp,score_03001_total,score_04009_temp,score_04009_total,env_cluster,env_anomaly_dist,env_anomaly_flag
1275025000,전남광주통합특별시 보성군 보성읍,10,12.608333333333334,10.055975910629039,1600.0,12,12,20.516666666666666,58.8,58.8,100.0,100.0,90.3,90.3,91.8,91.8,91.3,91.3,1.0,1.618,False
5214025000,전북특별자치도 익산시 함열읍,14,14.416666666666666,10.547454094651842,1421.5,12,12,22.683333333333334,1.7,1.7,94.4,94.4,91.7,91.7,100.0,100.0,93.0,93.0,0.0,1.108,False
4888025000,경상남도 거창군 거창읍,9,13.433333333333332,10.085302837958478,1451.0,12,12,21.400000000000002,20.4,20.4,100.0,100.0,91.1,91.1,100.0,100.0,92.0,92.0,0.0,1.056,False
1283034000,전남광주통합특별시 영광군 군서면,15,,,,12,0,,,,,,,,,,,,,,
4812000000,경상남도 창원시,12,14.450000000000001,10.262508996784895,1007.5,12,12,22.516666666666666,2.8,2.8,100.0,100.0,92.0,92.0,100.0,100.0,92.9,92.9,0.0,1.07,False
4775025000,경상북도 청송군 청송읍,5,12.433333333333332,11.16221982918951,920.0,12,12,21.283333333333335,28.0,28.0,100.0,100.0,90.2,90.2,100.0,100.0,91.9,91.9,1.0,1.065,False
4159000000,경기도 화성시,13,13.25,10.46704786026561,853.0,12,12,21.349999999999998,22.1,22.1,100.0,100.0,90.7,90.7,100.0,100.0,92.0,92.0,1.0,1.294,False
5274025000,전북특별자치도 장수군 장수읍,4,11.941666666666668,10.364577641996306,1444.5,12,12,20.05,85.6,85.6,100.0,100.0,89.6,89.6,90.1,90.1,90.8,90.8,1.0,1.345,False
4721036000,경상북도 영주시 봉현면,11,13.091666666666667,10.461571091235278,1216.5,12,12,21.416666666666668,23.9,23.9,100.0,100.0,90.6,90.6,100.0,100.0,92.0,92.0,1.0,0.715,False
1276031000,전남광주통합특별시 화순군 한천면,10,13.125,10.182170245536602,1692.5,12,12,21.066666666666666,28.9,28.9,100.0,100.0,90.7,90.7,94.8,94.8,91.7,91.7,1.0,1.566,False
5218038000,전북특별자치도 정읍시 정우면,14,14.450000000000001,10.584422516131903,1479.5,12,12,22.7,0.9,0.9,93.7,93.7,91.9,91.9,100.0,100.0,93.1,93.1,0.0,1.201,False
4885033000,경상남도 하동군 적량면,9,,,,12,0,,,,,,,,,,,,,,
1280031000,전남광주통합특별시 영암군 덕진면,15,,,,12,0,,,,,,,,,,,,,,
4139011900,경기도 시흥시 하중동,13,13.133333333333333,10.715268064634207,1385.5,12,12,21.483333333333334,20.7,20.7,100.0,100.0,90.6,90.6,100.0,100.0,92.1,92.1,1.0,0.569,False
5272025000,전북특별자치도 진안군 진안읍,4,12.0,10.472040697191565,1750.5,12,12,20.2,79.5,79.5,100.0,100.0,89.8,89.8,90.1,90.1,91.0,91.0,1.0,1.643,False
2772031000,대구광역시 군위군 소보면,11,12.875,10.841680933072393,1095.0,12,12,21.53333333333333,21.1,21.1,100.0,100.0,90.7,90.7,100.0,100.0,92.1,92.1,1.0,0.568,False
4885031000,경상남도 하동군 화개면,10,14.966666666666667,9.882706045809456,1949.0,12,12,22.683333333333334,0.4,0.4,93.2,93.2,92.2,92.2,100.0,100.0,93.0,93.0,0.0,1.629,False
4889046000,경상남도 합천군 용주면,9,14.083333333333334,10.371625044350864,1573.5,12,12,22.28333333333333,6.6,6.6,100.0,100.0,91.6,91.6,100.0,100.0,92.7,92.7,0.0,0.98,False
1277025000,전남광주통합특별시 장흥군 장흥읍,15,14.924999999999999,9.746526187687218,1647.5,12,12,22.400000000000002,2.5,2.5,100.0,100.0,92.1,92.1,100.0,100.0,92.8,92.8,0.0,0.883,False
4413000000,충청남도 천안시,13,12.783333333333333,10.761787054484056,1435.0,12,12,21.283333333333335,27.5,27.5,100.0,100.0,90.4,90.4,100.0,100.0,91.9,91.9,1.0,0.48,False
4725041000,경상북도 상주시 화서면,4,12.4,10.67861073701665,1265.0,12,12,20.883333333333333,43.9,43.9,100.0,100.0,90.1,90.1,94.6,94.6,91.6,91.6,1.0,0.35,False
4773033000,경상북도 의성군 옥산면,11,12.641666666666666,10.828872041767308,1240.0,12,12,21.25,27.5,27.5,100.0,100.0,90.5,90.5,100.0,100.0,91.9,91.9,1.0,0.103,False
1279037000,전남광주통합특별시 해남군 옥천면,15,13.65,9.945624894668738,1402.0,12,12,21.133333333333333,23.2,23.2,100.0,100.0,91.0,91.0,92.7,92.7,91.8,91.8,0.0,1.079,False
4128100000,경기도 고양시 덕양구,13,13.299999999999999,11.363578181669235,1376.5,12,12,22.25,8.7,8.7,100.0,100.0,91.0,91.0,100.0,100.0,92.7,92.7,1.0,1.385,False
