region_code,region_name,scenario,crop_code,api_ec_value,ec_value_on_band_scale,score,penalized,measured,method_warning
4427000000,충청남도 당진시,raw_1_to_5,03001,0.388,0.388,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5177025000,강원특별자치도 정선군 정선읍,raw_1_to_5,03001,0.381,0.381,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4167011200,경기도 여주시 상거동,raw_1_to_5,03001,0.8,0.8,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4884031000,경상남도 남해군 이동면,raw_1_to_5,03001,0.5,0.5,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4313012200,충청북도 충주시 안림동,raw_1_to_5,03001,1.325,1.325,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4165034000,경기도 포천시 신북면,raw_1_to_5,03001,0.75,0.75,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4471031000,충청남도 금산군 금성면,raw_1_to_5,03001,0.46,0.46,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4773025000,경상북도 의성군 의성읍,raw_1_to_5,03001,0.544,0.544,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
1217037000,전남광주통합특별시 나주시 문평면,raw_1_to_5,03001,0.381009710295828,0.381009710295828,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5271000000,전북특별자치도 완주군,raw_1_to_5,03001,0.5,0.5,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4777037000,경상북도 영덕군 병곡면,raw_1_to_5,03001,0.5,0.5,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
1272031000,전남광주통합특별시 곡성군 오곡면,raw_1_to_5,03001,0.3414829681823904,0.3414829681823904,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
1217034000,전남광주통합특별시 나주시 공산면,raw_1_to_5,03001,1.6391503679470658,1.6391503679470658,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
3171031000,울산광역시 울주군 서생면,raw_1_to_5,03001,0.5082174169956548,0.5082174169956548,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4782034000,경상북도 청도군 이서면,raw_1_to_5,03001,0.58,0.58,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4717032000,경상북도 안동시 북후면,raw_1_to_5,03001,0.6652170215199416,0.6652170215199416,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5011025000,제주특별자치도 제주시 한림읍,raw_1_to_5,03001,0.36,0.36,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4128000000,경기도 고양시,raw_1_to_5,03001,0.521497211771677,0.521497211771677,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
