region_code,region_name,indicator,actual_value,log_score_multiplier_2,national_grade_score,deviation_log_minus_grade,absolute_deviation
4161010600,경기도 광주시 목현동,ph,5.498,82.35585729262792,75,7.355857292627917,7.355857292627917
4825011500,경상남도 김해시 전하동,ph,5.73,89.49678228636249,90,-0.5032177136375111,0.5032177136375111
4313011400,충청북도 충주시 달천동,ph,6.39,100.0,100,0.0,0.0
5111025000,강원특별자치도 춘천시 신북읍,ph,6.2,100.0,100,0.0,0.0
5273025000,전북특별자치도 무주군 무주읍,ph,5.892,93.030961804096,90,3.0309618040959947,3.0309618040959947
4719025000,경상북도 구미시 선산읍,ph,6.358,100.0,100,0.0,0.0
1284025000,전남광주통합특별시 장성군 장성읍,ph,,,,,
5221036000,전북특별자치도 김제시 부량면,ph,5.929,93.73463907588936,90,3.734639075889362,3.734639075889362
4888000000,경상남도 거창군,ph,5.856,92.31354065205967,90,2.3135406520596717,2.3135406520596717
1287025300,전남광주통합특별시 신안군 압해읍,ph,,,,,
4827036000,경상남도 밀양시 상남면,ph,5.71,88.99745723681782,90,-1.002542763182177,1.002542763182177
4776025000,경상북도 영양군 영양읍,ph,5.928,93.71604289851389,90,3.7160428985138907,3.7160428985138907
5011025300,제주특별자치도 제주시 애월읍,ph,5.431,79.46530872601484,75,4.46530872601484,4.46530872601484
4180036000,경기도 연천군 신서면,ph,6.03,100.0,100,0.0,0.0
5177025900,강원특별자치도 정선군 신동읍,ph,6.047,100.0,100,0.0,0.0
5173036000,강원특별자치도 횡성군 공근면,ph,5.627,86.72980438359805,75,11.72980438359805,11.72980438359805
4882025000,경상남도 고성군 고성읍,ph,5.919,93.54764551781724,90,3.5476455178172444,3.5476455178172444
5179025000,강원특별자치도 화천군 화천읍,ph,5.633,86.90557006169568,75,11.905570061695684,11.905570061695684
5271036000,전북특별자치도 완주군 고산면,ph,5.785,90.79092863737269,90,0.7909286373726871,0.7909286373726871
4719032000,경상북도 구미시 옥성면,ph,6.299,100.0,100,0.0,0.0
1217040000,전남광주통합특별시 나주시 산포면,ph,,,,,
4476031000,충청남도 부여군 규암면,ph,6.217,100.0,100,0.0,0.0
4888031000,경상남도 거창군 주상면,ph,5.954,94.19229979811898,90,4.192299798118981,4.192299798118981
1213013800,전남광주통합특별시 여수시 주삼동,ph,,,,,
4874036000,경상남도 창녕군 대지면,ph,5.781,90.70043539056931,90,0.7004353905693108,0.7004353905693108
4721039000,경상북도 영주시 부석면,ph,5.948,94.08371135234393,90,4.083711352343926,4.083711352343926
4157035000,경기도 김포시 월곶면,ph,5.835,91.8788551569831,90,1.878855156983093,1.878855156983093
4792039000,경상북도 봉화군 석포면,ph,5.75,89.98022501941904,90,-0.019774980580962165,0.019774980580962165
4824033000,경상남도 사천시 용현면,ph,5.749,89.95641459564864,90,-0.04358540435136149,0.04358540435136149
5275033000,전북특별자치도 임실군 신평면,ph,5.715,89.12383465006293,90,-0.8761653499370681,0.8761653499370681
4725043000,경상북도 상주시 외서면,ph,6.111,100.0,100,0.0,0.0
1275025000,전남광주통합특별시 보성군 보성읍,ph,,,,,
5214025000,전북특별자치도 익산시 함열읍,ph,5.591,85.63026259694442,75,10.63026259694442,10.63026259694442
4888025000,경상남도 거창군 거창읍,ph,6.202,100.0,100,0.0,0.0
1283034000,전남광주통합특별시 영광군 군서면,ph,,,,,
4812000000,경상남도 창원시,ph,5.65,87.39281130636121,75,12.39281130636121,12.39281130636121
4775025000,경상북도 청송군 청송읍,ph,5.792,90.94800693714113,90,0.9480069371411304,0.9480069371411304
4159000000,경기도 화성시,ph,5.995,94.91425689467299,90,4.914256894672988,4.914256894672988
5274025000,전북특별자치도 장수군 장수읍,ph,5.961,94.3180135875622,90,4.318013587562206,4.318013587562206
