region_code,year,pH,organic_matter,available_p,k,ca,mg,silicic_acid
1280031000,NA,NA,NA,NA,NA,NA,NA,NA
4139011900,NA,6.241,22.882,62.426,NA,NA,NA,NA
5272025000,2026,5.649,23.829,277.191,0.699,6.454,1.66,289.828
2772031000,NA,NA,NA,NA,NA,NA,NA,NA
4885031000,2026,5.258,33.063,405.984,0.647,8.505,2.268,187.543
4889046000,2026,5.958,21.845,429.847,0.368,4.668,1.199,158.076
1277025000,NA,NA,NA,NA,NA,NA,NA,NA
4413000000,NA,6.017,19.221,369.146,NA,NA,NA,NA
4725041000,2026,5.857,19.632,440.455,0.872,8.588,2.258,455.719
4773033000,2026,6.106,24.827,611.448,0.739,7.898,2.433,212.0
1279037000,NA,NA,NA,NA,NA,NA,NA,NA
4128100000,NA,6.222,23.45,608.525,NA,NA,NA,NA
